Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_raz,sur_refl_qc_500m,sur_refl_day_of_year,sur_refl_vzen,sur_refl_state_500m,sur_refl_szen,real_date
2009/01/01,749,1350,385,571,2320,2250,1617,11801,1073741824,5,1116,72,6208,2009/01/05
2009/01/09,995,1965,517,730,3331,3176,2177,11701,1073741824,10,4013,72,6060,2009/01/10
2009/01/17,1019,1808,523,766,3119,3227,2312,12078,1073741824,21,1116,72,5975,2009/01/21
2009/01/25,1054,1840,554,816,2916,3298,2323,-5803,1073741824,30,67,72,5812,2009/01/30
2009/02/02,1147,2038,595,856,3363,3236,2357,12073,1073741824,35,3189,72,5554,2009/02/04
2009/02/10,1180,2098,620,896,3215,3488,2398,-2168,1073741824,46,81,72,5342,2009/02/15
2009/02/18,1306,2202,668,1003,3555,3690,2734,-5282,1073741824,55,1250,72,5082,2009/02/24
2009/02/26,1227,2085,645,949,3213,3170,2260,12339,1073741824,60,2218,136,4747,2009/03/01
2009/03/06,1214,2146,645,938,3533,3442,2583,12507,1073741824,69,1126,72,4447,2009/03/10
2009/03/14,1320,2213,680,1020,3530,3744,2796,-7246,1073741824,78,52,72,4145,2009/03/19
2009/03/22,1275,2181,709,1008,3071,3292,2333,12378,1073741824,83,3208,140,3794,2009/03/24
2009/03/30,1409,2403,731,1084,3464,3839,2775,-90,1073741824,94,60,72,3523,2009/04/04
2009/04/07,1305,2286,691,1043,3364,3677,2711,12778,1073741824,101,1144,72,3204,2009/04/11
2009/04/15,1298,2293,664,1017,3541,3525,2718,-4687,1073741824,110,30,72,2953,2009/04/20
2009/04/23,1379,2840,735,1162,4032,3927,2961,-3947,1073741824,114,4125,72,3130,2009/04/24
2009/05/01,1117,2442,587,980,3248,3372,2351,571,1073741824,126,60,72,2488,2009/05/06
2009/05/09,953,2512,506,871,3390,2997,1984,13128,1073741824,131,3208,136,2172,2009/05/11
2009/05/17,1040,3197,566,1042,3983,3424,2195,-3217,1073741824,144,2335,72,2312,2009/05/24
2009/05/25,925,2891,482,925,3548,3010,1950,14023,1073741824,149,1126,72,1999,2009/05/29
2009/06/02,852,2798,456,873,3293,2623,1589,14069,1073741824,156,2218,74,1861,2009/06/05
2009/06/10,874,3177,460,959,3817,2867,1567,-2872,1073741824,167,1269,72,2095,2009/06/16
2009/06/18,715,3381,383,871,3518,2622,1383,-611,1073741824,174,112,72,2022,2009/06/23
2009/06/26,708,3213,370,814,3438,2590,1393,14573,1073741824,181,1064,72,1977,2009/06/30
2009/07/04,838,3803,435,983,4209,2869,1442,-2742,1073741824,192,2409,72,2372,2009/07/11
2009/07/12,874,3320,467,976,3676,2818,1583,-2882,1073741824,199,1305,72,2368,2009/07/18
2009/07/20,658,2792,336,702,-11,2337,1219,14068,1075576833,204,2173,72,2192,2009/07/23
2009/07/28,555,2940,285,637,3079,2143,988,14036,1073741824,213,1072,72,2443,2009/08/01
2009/08/05,683,2970,372,737,3247,2380,1151,-2079,1073741824,222,109,72,2718,2009/08/10
2009/08/13,499,2889,267,560,2984,2208,1022,12292,1073741824,232,5265,72,2645,2009/08/20
2009/08/21,637,2750,336,662,-17,2320,1181,12897,1075576833,236,2200,72,2952,2009/08/24
2009/08/29,760,2571,396,754,3061,2559,1430,12916,1073741824,245,1089,136,3281,2009/09/02
2009/09/06,722,3399,366,783,3669,2695,1363,-4633,1073741824,249,3337,136,3655,2009/09/06
2009/09/14,749,2488,401,730,-28672,2675,1504,-5246,1075576835,263,1261,72,3973,2009/09/20
2009/09/22,738,2428,377,680,3216,2608,1493,-2761,1073741824,270,88,72,4165,2009/09/27
2009/09/30,831,2413,433,716,3586,2918,1750,11856,1073741824,277,1099,72,4373,2009/10/04
2009/10/08,787,1901,384,652,2901,2466,1438,-6019,1073741824,288,2372,72,4874,2009/10/15
2009/10/16,775,1739,413,619,2669,2791,1713,11308,1073741824,291,3170,72,4814,2009/10/18
2009/10/24,662,1447,316,510,2421,2392,1478,11394,1073741824,300,2200,72,5144,2009/10/27
2009/11/01,914,1730,432,688,2924,2990,2137,11292,1073741824,309,1108,72,5450,2009/11/05
2009/11/09,1756,2829,1157,1514,3904,3630,2343,-6034,1073741824,317,5907,1801,5989,2009/11/13
2009/11/17,975,1809,520,766,3106,3086,2123,-6500,1073741824,327,1251,72,5973,2009/11/23
2009/11/25,910,1698,446,690,2917,2889,2038,-3484,1073741824,334,88,72,6078,2009/11/30
2009/12/03,1139,2081,591,871,3411,3692,2365,-6242,1073741824,338,4145,72,6288,2009/12/04
2009/12/11,969,1843,454,747,3158,3042,2026,-6261,1073741824,352,2372,72,6354,2009/12/18
2009/12/19,1083,1932,579,814,2954,3171,2101,-5943,1073741824,359,1261,72,6333,2009/12/25
2009/12/27,933,1662,500,711,2653,2901,1769,-5206,1073741824,1,104,72,6278,2009/01/01
2010/01/01,933,1662,500,711,2653,2901,1769,-5206,1073741824,1,104,72,6278,2010/01/01
2010/01/09,1125,1914,550,851,3016,3466,2325,-5840,1073741824,10,1287,72,6241,2010/01/10
2010/01/17,862,1497,453,653,2380,2639,1566,12089,1073741824,24,1053,72,5923,2010/01/24
2010/01/25,1019,1777,474,775,2803,3159,2143,-5795,1073741824,26,1305,72,5967,2010/01/26
2010/02/02,5930,5831,5615,5894,2611,604,371,-2790,1073741824,33,128,-28600,5747,2010/02/02
2010/02/10,1175,1894,611,900,2745,3032,1948,12279,1073741824,47,2200,138,5229,2010/02/16
2010/02/18,3659,4138,3445,3542,2527,934,432,12282,1073741824,54,3170,-28600,4942,2010/02/23
2010/02/26,1047,1805,556,817,2948,3104,2153,12363,1073741824,63,2200,72,4647,2010/03/04
2010/03/06,1184,1878,696,952,2774,2769,1986,-4115,1073741824,65,87,136,4671,2010/03/06
2010/03/14,1008,1925,528,794,2857,3220,2264,12350,1073741824,77,4004,72,4009,2010/03/18
2010/03/22,1153,1991,613,924,3267,3387,2507,-5131,1073741824,81,85,72,4045,2010/03/22
2010/03/30,1191,2119,633,958,3315,3589,2627,-4717,1073741824,90,1278,72,3756,2010/03/31
2010/04/07,1352,2578,679,1100,3912,3952,2856,-4607,1073741824,99,2381,72,3489,2010/04/09
2010/04/15,811,2196,409,696,2920,2917,1663,12074,1073741824,107,5265,136,2779,2010/04/17
2010/04/23,751,2580,387,763,3262,2569,1417,-4174,1073741824,113,121,72,2876,2010/04/23
2010/05/01,617,1605,297,586,2182,1884,1185,-4188,1073741824,122,1313,72,2685,2010/05/02
2010/05/09,1087,2967,564,1005,-24,3495,2254,-3592,1075576833,131,2382,72,2548,2010/05/11
2010/05/17,1086,3120,571,1036,3982,3258,2019,-3518,1073741824,138,1278,136,2329,2010/05/18
2010/05/25,863,3252,443,950,3718,3128,1777,-3094,1073741824,147,2372,72,2292,2010/05/27
2010/06/02,677,2700,332,682,3212,2498,1363,13556,1073741824,157,4003,72,1721,2010/06/06
2010/06/10,848,3102,441,888,3758,2889,1606,508,1073741824,161,105,72,2015,2010/06/10
2010/06/18,733,2931,403,784,3335,2688,1395,14429,1073741824,175,2201,72,1856,2010/06/24
2010/06/26,840,3134,450,877,3604,2922,1607,-4147,1073741824,177,86,72,2043,2010/06/26
2010/07/04,817,3632,404,909,4108,3067,1640,-2096,1073741824,192,5917,72,2901,2010/07/11
2010/07/12,676,2824,340,742,3165,2652,1419,14571,1073741824,200,1080,72,2207,2010/07/19
2010/07/20,914,3511,465,974,4122,3146,1708,-2826,1073741824,204,3346,74,2638,2010/07/23
2010/07/28,701,2940,374,766,3407,2742,1417,-1699,1073741824,209,117,72,2448,2010/07/28
2010/08/05,973,3136,485,909,3806,3316,1894,-3374,1073741824,218,1297,74,2712,2010/08/06
2010/08/13,895,2849,441,808,3529,2994,1650,-2931,1073741824,225,132,72,2791,2010/08/13
2010/08/21,764,2952,368,773,3491,2865,1514,-4364,1073741824,234,1296,72,3092,2010/08/22
2010/08/29,802,3102,424,815,3584,2938,1548,-1379,1073741824,241,113,72,3216,2010/08/29
2010/09/06,1233,3621,664,1112,4072,3305,1939,-4786,1073741824,250,1269,72,3549,2010/09/07
2010/09/14,799,2829,361,695,3531,2615,1364,-3614,1073741824,257,89,72,3717,2010/09/14
2010/09/22,649,2297,288,548,3184,2441,1241,11921,1073741824,271,2209,72,4115,2010/09/28
2010/09/30,780,2378,355,652,3158,2752,1434,-3702,1073741824,273,72,72,4263,2010/09/30
2010/10/08,874,2501,363,673,3561,2805,1540,-6020,1073741824,282,1250,72,4620,2010/10/09
2010/10/16,824,2221,348,600,3029,2594,1347,-5585,1073741824,289,76,72,4824,2010/10/16
2010/10/24,792,2068,346,555,3126,2681,1520,11239,1073741824,303,2200,72,5234,2010/10/30
2010/11/01,1064,2352,560,823,3132,2899,1643,-2809,1073741824,305,106,136,5352,2010/11/01
2010/11/09,1052,2296,423,692,3222,3099,1683,-6427,1073741824,314,1260,72,5649,2010/11/10
2010/11/17,1185,2829,464,831,3689,3451,1840,-6262,1073741824,325,4145,72,6039,2010/11/21
2010/11/25,1001,2155,389,697,3356,3055,1908,-6231,1073741824,330,1261,72,6033,2010/11/26
2010/12/03,977,2341,450,648,3068,2665,1329,11365,1073741824,342,3170,72,6115,2010/12/08
2010/12/11,1102,2146,397,720,3175,3194,1760,-6249,1073741824,346,1269,72,6271,2010/12/12
2010/12/19,1100,2086,434,731,3287,2939,1748,-4766,1073741824,353,98,72,6287,2010/12/19
2010/12/27,1117,2085,569,790,3137,2661,1737,11594,1073741824,2,2172,72,6208,2010/01/02
2011/01/01,1169,2206,447,757,3397,2957,1727,-4899,1073741824,4,124,72,6263,2011/01/04
2011/01/09,1147,2239,548,764,3315,3333,1840,11634,1073741824,9,3143,136,6113,2011/01/09
2011/01/17,1480,2531,716,1061,2589,690,255,-5574,1073741824,20,157,74,6054,2011/01/20
2011/01/25,1114,2065,495,786,3310,3188,2090,12040,1073741824,27,1044,72,5863,2011/01/27
2011/02/02,1385,2506,607,991,3919,3566,2459,-5367,1073741824,38,2391,72,5719,2011/02/07
2011/02/10,1560,2792,642,1072,4120,3813,2355,-5227,1073741824,47,3346,74,5500,2011/02/16
2011/02/18,1216,2207,528,881,3293,3469,2161,-4102,1073741824,52,115,72,5164,2011/02/21
2011/02/26,1131,2080,475,808,3355,3206,2108,12432,1073741824,59,1080,72,4859,2011/02/28
2011/03/06,1167,2069,531,852,3318,3113,1915,-6287,1073741824,68,104,72,4568,2011/03/09
2011/03/14,1371,2457,643,1027,3502,3693,2110,-4809,1073741824,79,3346,72,4326,2011/03/20
2011/03/22,1112,2008,511,809,3195,3189,2052,12463,1073741824,82,2183,72,3910,2011/03/23
2011/03/30,1079,1994,480,820,3217,3236,2158,12868,1073741824,91,1053,72,3611,2011/04/01
2011/04/07,1301,2474,586,1007,3741,3755,2398,-4426,1073741824,102,2390,72,3395,2011/04/12
2011/04/15,1295,2688,632,1030,6385,3863,2443,-3831,1075576832,106,5430,72,3580,2011/04/16
2011/04/23,1156,2389,575,966,-2,3525,2123,-3993,1075576833,118,2372,72,2880,2011/04/28
2011/05/01,1063,2309,483,865,3446,3240,2145,13393,1073741824,123,1089,72,2523,2011/05/03
2011/05/09,1026,2548,499,898,3644,3341,2095,-687,1073741824,132,113,72,2373,2011/05/12
2011/05/17,1024,2698,454,918,3729,3219,1950,-3615,1073741824,141,1277,72,2287,2011/05/21
2011/05/25,954,2409,461,840,3355,3137,2112,13845,1073741824,146,2182,72,1978,2011/05/26
2011/06/02,1170,3046,615,1062,3991,3584,2316,-2861,1073741824,157,1305,72,2129,2011/06/06
2011/06/10,1016,2775,517,928,3721,3325,2055,-1080,1073741824,164,157,72,2018,2011/06/13
2011/06/18,878,2731,448,851,3545,2927,1646,14647,1073741824,171,1036,72,1934,2011/06/20
2011/06/26,1180,2898,597,1011,3944,3515,2165,-162,1073741824,180,136,72,2067,2011/06/29
2011/07/04,1295,3153,647,1095,4262,3852,2390,-2684,1073741824,189,1287,74,2243,2011/07/08